,word,tfidf
9571,代码,1.52238644617
5333,简单,1.53408248593
1210,开发,1.63292832057
9097,方式,1.64600040213
8550,提供,1.78707900039
8885,工作,1.80234647252
4031,文件,1.84959935738
1430,即可,1.86585987825
4422,内容,1.8823891802
9325,工具,1.91629073187
4198,定义,1.91629073187
4264,信息,1.93368247459
6965,过程,1.93368247459
805,测试,1.93368247459
8343,发现,1.98774969586
1674,javascript,2.00644182887
7409,功能,2.0449081097
1014,项目,2.06471073699
7180,例子,2.08491344431
2278,本身,2.10553273151
4966,时间,2.12658614071
9230,环境,2.12658614071
2442,编写,2.12658614071
9411,事实上,2.14809234593
4955,修改,2.14809234593
3674,return,2.17007125265
4494,支持,2.17007125265
9280,创建,2.17007125265
1884,用户,2.1925441085
2795,学习,2.1925441085
4128,运行,2.1925441085
5786,数据,2.1925441085
2388,执行,2.1925441085
8604,系统,2.21553362673
8435,添加,2.21553362673
2446,web,2.21553362673
1449,一篇,2.23906412414
5012,来说,2.26316167572
487,文章,2.26316167572
4719,生成,2.28785428831
9350,启动,2.28785428831
4981,http,2.28785428831
7513,方法,2.28785428831
2263,版本,2.28785428831
2996,场景,2.31317209629
5554,语言,2.31317209629
7647,函数,2.31317209629
4033,事情,2.31317209629
2168,一点,2.31317209629
2898,设计,2.33914758269
