      word     tfidf
16349   分享  1.068756
14211   一个  1.090339
21397   可以  1.112399
6404    我们  1.131161
6785    需要  1.134956
13095   这个  1.165847
1885    没有  1.197722
21951   就是  1.222313
10205   如果  1.226471
8446    这样  1.239050
10215   不是  1.247525
2378    问题  1.256072
21084   自己  1.269031
6649    这些  1.299938
23306   已经  1.308948
10033   通过  1.313483
2898    可能  1.313483
5668    很多  1.350524
9771    进行  1.350524
14242   一些  1.369572
5405    方式  1.374391
3489    使用  1.379234
13292   作为  1.388990
11875   对于  1.393904
9110    时间  1.398843
5300    工作  1.403805
5811    时候  1.403805
2435    什么  1.403805
5496    所有  1.423907
12186   如何  1.449615
22843   因为  1.449615
10956   不同  1.449615
