      word     tfidf
15820   分享  1.068756
13746   一个  1.090339
5488    很多  1.350524
5231    方式  1.374391
8821    时间  1.398843
5131    工作  1.403805
21811   过程  1.470668
4226    开发  1.486754
12715   项目  1.492175
10534   技术  1.497624
20912   简单  1.497624
4942    提供  1.542324
12967   一种  1.553819
4827    发现  1.559616
18767   团队  1.595122
8968    情况  1.607244
17523   代码  1.638206
7664    设计  1.644515
8792    系统  1.670158
3418    解决  1.676672
16308   功能  1.683230
4957    需求  1.696475
8289    事情  1.716678
7082    用户  1.716678
18578   理解  1.723504
17610   影响  1.730377
9494    两个  1.730377
20538   能力  1.744266
8314    工具  1.758350
11688   软件  1.779857
16051   选择  1.787129
12482   测试  1.801835

      word     tfidf
15815   分享  1.068756
5231    方式  1.374391
8820    时间  1.398843
5131    工作  1.403805
21806   过程  1.470668
4226    开发  1.486754
12713   项目  1.492175
20907   简单  1.497624
10532   技术  1.497624
4942    提供  1.542324
4827    发现  1.559616
18762   团队  1.595122
8967    情况  1.607244
17518   代码  1.638206
7663    设计  1.644515
8791    系统  1.670158
3418    解决  1.676672
16303   功能  1.683230
4957    需求  1.696475
7081    用户  1.716678
8288    事情  1.716678
18573   理解  1.723504
17605   影响  1.730377
20533   能力  1.744266
8313    工具  1.758350
11686   软件  1.779857
16046   选择  1.787129
12480   测试  1.801835
13915   业务  1.809270
8509    内容  1.809270
2962    来说  1.816761
3592    实践  1.816761
